Question acceptedAnswer Answer
VisualArtwork depth Distance
SoftwareApplication device Text
VideoGameSeries directors Person
TVSeries directors Person
Movie directors Person
RadioSeries directors Person
Episode directors Person
VideoObject directors Person
Clip directors Person
VideoGame directors Person
MovieSeries directors Person
Thing disambiguatingDescription Text
Order discount Text
Order discount Number
Order discountCode Text
Order discountCurrency Text
UserComments discusses CreativeWork
CreativeWork discussionUrl URL
Organization dissolutionDate Date
TravelAction distance Distance
ExerciseAction distance Distance
Dataset distribution DataDownload
OfferShippingDetails doesNotShip Boolean
ShippingRateSettings doesNotShip Boolean
Event doorTime DateTime
Event doorTime Time
SoftwareApplication downloadUrl URL
Comment downvoteCount Integer
Vehicle driveWheelConfiguration DriveWheelConfigurationValue
Vehicle driveWheelConfiguration Text
RentalCarReservation dropoffLocation Place
RentalCarReservation dropoffTime DateTime
Organization duns Text
Person duns Text
WarrantyPromise durationOfWarranty QuantitativeValue
HowToDirection duringMedia MediaObject
HowToDirection duringMedia URL
CreativeWork editor Person
JobPosting educationRequirements Text
Occupation educationRequirements Text
CreativeWork educationalAlignment AlignmentObject
AlignmentObject educationalFramework Text
EducationalAudience educationalRole Text
CreativeWork educationalUse DefinedTerm
CreativeWork educationalUse Text
GeoShape elevation Text
GeoShape elevation Number
GeoCoordinates elevation Text
GeoCoordinates elevation Number
Demand eligibleCustomerType BusinessEntityType
Offer eligibleCustomerType BusinessEntityType
Demand eligibleDuration QuantitativeValue
Offer eligibleDuration QuantitativeValue
PriceSpecification eligibleQuantity QuantitativeValue
Demand eligibleQuantity QuantitativeValue
Offer eligibleQuantity QuantitativeValue
ActionAccessSpecification eligibleRegion Place
ActionAccessSpecification eligibleRegion GeoShape
ActionAccessSpecification eligibleRegion Text
DeliveryChargeSpecification eligibleRegion Place
DeliveryChargeSpecification eligibleRegion GeoShape
DeliveryChargeSpecification eligibleRegion Text
Demand eligibleRegion Place
Demand eligibleRegion GeoShape
Demand eligibleRegion Text
Offer eligibleRegion Place
Offer eligibleRegion GeoShape
